model_name,model_type,features,fit_intercept,eligible_for_recommendation,intercept,slope,mae,mape,r2,loo_mae,loo_mape,loo_max_ape,coef_raw_unique_devices,coef_clean_unique_devices,coef_raw_sessions,coef_clean_sessions,coef_trusted_unique_devices,coef_local_unique_devices,coef_mean_signal_level,coef_zero_duration_ratio,coef_trusted_share_of_clean_unique,coef_local_share_of_clean_unique,selected_for_delivery,selection_note
origin_clean_sessions,linear,clean_sessions,False,False,0.0,0.13924202066871735,225.14523949421962,0.3907870777177358,-46.17319556423191,300.02092273945857,0.5077285931329814,0.8262614176861954,,,,0.13924202066871735,,,,,,,False,Diagnostic comparison model
origin_clean_unique_devices,linear,clean_unique_devices,False,False,0.0,0.13970383554925167,225.2890455624743,0.3910144198801876,-46.11262941331343,300.70742181376073,0.5088163088796,0.8257041469514833,,0.13970383554925167,,,,,,,,,False,Diagnostic comparison model
origin_local_unique_devices,linear,local_unique_devices,False,False,0.0,0.14012247275752263,226.07428072092023,0.3924252984421661,-46.39376274975205,301.72174409567793,0.5105757625355283,0.8270368745879602,,,,,,0.14012247275752263,,,,,False,Diagnostic comparison model
origin_trusted_unique_devices,linear,trusted_unique_devices,False,False,0.0,16.677091278921942,234.6536359013476,0.4061980381866029,-38.576121866420536,367.8783968770018,0.6145846236889934,1.062831295409578,,,,,16.677091278921942,,,,,,False,Diagnostic comparison model
capture_median_trusted_unique_devices,capture_median,trusted_unique_devices,False,False,0.0,25.242063492063494,298.3363095238095,0.4913369194000761,-81.98869482214596,443.1289682539683,0.7334363857068206,1.440689537463731,,,,,25.242063492063494,,,,,,False,Diagnostic comparison model
capture_mean_trusted_unique_devices,capture_mean,trusted_unique_devices,False,False,0.0,28.59174852924853,341.0447937479188,0.5565385590223083,-122.58529621576223,454.7263916638916,0.7420514120297443,1.7117684045487422,,,,,28.59174852924853,,,,,,False,Diagnostic comparison model
capture_median_raw_unique_devices,capture_median,raw_unique_devices,False,False,0.0,0.20700324591924898,337.99460570254297,0.5698670854336242,-82.61132111037695,543.1850173971931,0.9145684648467924,1.4319229157938833,0.20700324591924898,,,,,,,,,,False,Diagnostic comparison model
capture_median_clean_unique_devices,capture_median,clean_unique_devices,False,False,0.0,0.2073976095408667,338.6238222746916,0.570884429751835,-82.98738972913407,543.9380607600652,0.9157701934189804,1.4354274520777945,,0.2073976095408667,,,,,,,,,False,Diagnostic comparison model
capture_median_clean_sessions,capture_median,clean_sessions,False,False,0.0,0.20685285305967838,339.2862736320121,0.5720849055359704,-83.18777586493476,545.6596060470401,0.9187631104824403,1.4381418092909535,,,,0.20685285305967838,,,,,,,False,Diagnostic comparison model
capture_median_local_unique_devices,capture_median,local_unique_devices,False,False,0.0,0.20907319733705187,341.3603386037516,0.5754281634315636,-84.3543035950683,549.2803967432864,0.9246504406519869,1.4530995970877216,,,,,,0.20907319733705187,,,,,False,Diagnostic comparison model
capture_mean_raw_unique_devices,capture_mean,raw_unique_devices,False,False,0.0,0.3213899492078532,585.3223603215962,0.9739814854408304,-312.44799536383084,780.4298137621283,1.298641980587774,2.487800624990451,0.3213899492078532,,,,,,,,,,False,Diagnostic comparison model
capture_mean_clean_unique_devices,capture_mean,clean_unique_devices,False,False,0.0,0.3228861481297062,588.7104135234001,0.9795798067542524,-316.13442867768623,784.9472180312,1.3061064090056693,2.503605594364679,,0.3228861481297062,,,,,,,,,False,Diagnostic comparison model
capture_mean_clean_sessions,capture_mean,clean_sessions,False,False,0.0,0.3225414370572863,590.7467419669382,0.9830772835008632,-318.23177636384804,787.6623226225843,1.310769711334484,2.5094184113921845,,,,0.3225414370572863,,,,,,,False,Diagnostic comparison model
capture_mean_local_unique_devices,capture_mean,local_unique_devices,False,False,0.0,0.3259030196458718,593.3336132609282,0.9871648239852788,-321.97852242501773,791.1114843479043,1.316219765313705,2.5274409946374248,,,,,,0.3259030196458718,,,,,False,Diagnostic comparison model
