device_id,first_seen,last_seen,unique_facilities,path_steps,path
6621132962770469249,2026-04-25 13:56:18+00:00,2026-04-25 13:56:18+00:00,2,2,66330 -> 66331
-816647997722316640,2026-04-26 16:22:10+00:00,2026-04-26 16:22:10+00:00,2,2,66333 -> 66342
-5615978617533525444,2026-04-20 14:53:21+00:00,2026-04-26 10:02:34+00:00,2,3,66336 -> 66335 -> 66336
5045666329027442170,2026-04-26 18:50:47+00:00,2026-04-26 18:50:48+00:00,3,3,66332 -> 66333 -> 66342
-181418700499409972,2026-04-25 15:07:57+00:00,2026-04-25 15:07:57+00:00,2,2,66333 -> 66342
2130504410806549645,2026-04-21 17:29:05+00:00,2026-04-21 17:29:06+00:00,2,2,66330 -> 66331
5980513820428442394,2026-04-24 11:51:26+00:00,2026-04-24 11:51:29+00:00,2,2,66332 -> 66342
-7441560555811033855,2026-04-25 09:44:46+00:00,2026-04-25 09:44:46+00:00,2,2,66333 -> 66342
2907447444954127244,2026-04-26 12:02:19+00:00,2026-04-26 12:02:19+00:00,2,2,66333 -> 66342
5583599824386151740,2026-04-20 13:27:10+00:00,2026-04-25 20:47:41+00:00,2,2,66332 -> 66340
-6609883737800098348,2026-04-23 18:07:21+00:00,2026-04-23 18:07:21+00:00,2,2,66333 -> 66342
-4172554768468500708,2026-04-24 17:12:41+00:00,2026-04-24 17:12:51+00:00,2,2,66336 -> 66335
-8074008249529882264,2026-04-26 17:49:46+00:00,2026-04-26 17:51:53+00:00,3,3,66331 -> 66333 -> 66342
4683008962539381212,2026-04-23 22:19:53+00:00,2026-04-23 22:19:53+00:00,2,2,66333 -> 66342
5232697291113488918,2026-04-22 19:13:49+00:00,2026-04-22 19:13:49+00:00,2,2,66330 -> 66331
-5786993110031481160,2026-04-24 15:02:09+00:00,2026-04-24 15:02:10+00:00,2,2,66331 -> 66330
8818708517337134130,2026-04-26 20:45:34+00:00,2026-04-26 20:45:34+00:00,2,2,66330 -> 66331
-2453280839425750154,2026-04-26 13:40:29+00:00,2026-04-26 13:40:30+00:00,2,2,66342 -> 66333
5672615763453413187,2026-04-25 13:24:02+00:00,2026-04-25 13:24:24+00:00,2,2,66342 -> 66332
1338550644937181699,2026-04-25 12:07:07+00:00,2026-04-25 12:07:07+00:00,2,2,66333 -> 66342
-4228427959189395770,2026-04-21 09:38:09+00:00,2026-04-21 09:38:09+00:00,2,2,66330 -> 66331
-3019978922338517620,2026-04-24 22:44:17+00:00,2026-04-24 22:44:19+00:00,2,2,66330 -> 66331
-595229774614513042,2026-04-26 15:49:21+00:00,2026-04-26 15:52:14+00:00,2,2,66336 -> 66342
-9091025640694338242,2026-04-25 13:18:11+00:00,2026-04-25 13:18:11+00:00,2,2,66330 -> 66331
916902281851099863,2026-04-26 10:33:42+00:00,2026-04-26 10:35:20+00:00,4,4,66330 -> 66331 -> 66335 -> 66336
5723722546631974147,2026-04-23 22:24:40+00:00,2026-04-23 22:24:40+00:00,2,2,66333 -> 66342
4876386857621045907,2026-04-21 18:45:16+00:00,2026-04-21 18:45:17+00:00,2,2,66330 -> 66331
5168211375987238567,2026-04-20 14:40:58+00:00,2026-04-20 14:40:59+00:00,2,2,66335 -> 66336
647320332300517927,2026-04-26 18:47:41+00:00,2026-04-26 18:47:42+00:00,2,2,66332 -> 66342
